	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G33434	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33436	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33438	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33439	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33441	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33442	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33533	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33624	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33715	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33806	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33898	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33990	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34082	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34174	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34266	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34358	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34376	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34394	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34412	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34431	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34450	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34460	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34480	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34500	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34520	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34540	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34560	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34581	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34602	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34623	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34644	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34665	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34686	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34696	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34707	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34728	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34749	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34770	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34780	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34790	0	0	0	1.10121423698995	0	1.01454915423164	1.65526443833659	0	1.35856866528889	0	0	0
AT5G34795	0	0	0	1.10121423698995	0	1.01454915423164	1.35968150291935	0	0.509463249483335	0	0	0
AT5G34800	0	0	0	1.10121423698995	0	0	1.59614785125314	0	0.679284332644447	0	0	0
AT5G34810	0	0	0	0.44048569479598	0	0	0.0591165870834498	0	0	0	0	0
AT5G34820	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34825	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34828	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34829	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34830	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34831	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34832	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34833	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34834	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34835	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34836	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34837	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34838	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34839	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34840	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34841	0	0	0	0	0	0	0	0	0	0	0	0
